Date,SPX,USO,SLV,EUR/USD,GLD
2010-01-04,85.03,322.16,17.23,1.4424,109.8
2010-01-05,85.25,323.28,17.51,1.4366,109.7
2010-01-06,85.31,327.76,17.86,1.4404,111.51
2010-01-07,85.67,325.76,17.89,1.4318,110.82
2010-01-08,85.96,327.44,18.15,1.4411,111.37
2010-01-11,86.08,324.32,18.21,1.4511,112.85
2010-01-12,85.28,317.04,17.91,1.4477,110.49
2010-01-13,86.0,313.68,18.27,1.4524,111.54
2010-01-14,86.23,312.48,18.31,1.45,112.03
2010-01-15,85.26,307.2,18.05,1.4391,110.86
2010-01-19,86.33,311.44,18.45,1.4281,111.52
2010-01-20,85.45,303.12,17.57,1.411,108.94
2010-01-21,83.8,297.92,17.07,1.4097,107.37
2010-01-22,81.94,290.72,16.78,1.4141,107.17
2010-01-25,82.36,294.48,16.83,1.415,107.48
2010-01-26,82.01,292.0,16.43,1.4082,107.56
2010-01-27,82.4,288.64,16.26,1.4031,106.53
2010-01-28,81.46,289.28,15.92,1.3968,106.48
2010-01-29,80.57,285.12,15.9,1.3867,105.96
2010-02-01,81.82,293.76,16.36,1.3927,108.35
2010-02-02,82.81,300.24,16.35,1.3976,109.13
2010-02-03,82.4,301.2,16.07,1.3901,108.7
2010-02-04,79.86,286.4,15.04,1.3745,104.37
2010-02-05,80.02,281.68,14.9,1.368,104.68
2010-02-08,79.45,280.72,14.75,1.3655,104.04
2010-02-09,80.44,289.68,15.12,1.3782,105.41
2010-02-10,80.29,292.08,14.95,1.3753,105.12
2010-02-11,81.13,294.24,15.37,1.3682,107.13
2010-02-12,81.06,290.48,15.24,1.3635,107.04
2010-02-16,82.33,302.32,15.82,1.3767,109.62
2010-02-17,82.72,303.76,15.74,1.3607,109.25
2010-02-18,83.21,309.84,15.88,1.3461,109.98
2010-02-19,83.38,312.72,15.97,1.3615,109.47
2010-02-22,83.4,312.24,15.9,1.3606,109.07
2010-02-23,82.39,306.64,15.57,1.3527,107.89
2010-02-24,83.14,311.92,15.62,1.3543,107.36
2010-02-25,83.03,304.88,15.77,1.3536,108.31
2010-02-26,83.08,310.56,16.07,1.3631,109.43
2010-03-01,83.95,306.8,16.11,1.3562,109.43
2010-03-02,84.18,310.4,16.56,1.3621,111.02
2010-03-03,84.26,315.2,16.82,1.3702,111.63
2010-03-04,84.51,313.2,16.79,1.3584,110.83
2010-03-05,85.72,318.8,17.01,1.3629,110.81
2010-03-08,85.73,318.32,16.89,1.3617,109.88
2010-03-09,85.88,316.4,16.92,1.3607,109.72
2010-03-10,86.26,319.2,16.66,1.3643,108.47
2010-03-11,86.62,320.4,16.81,1.3685,108.6
2010-03-12,86.63,316.08,16.76,1.377,107.95
2010-03-15,86.65,310.64,16.74,1.3677,108.36
2010-03-16,87.34,318.32,17.05,1.3769,110.4
2010-03-17,87.86,321.84,17.08,1.3738,109.59
2010-03-18,87.81,319.36,17.08,1.3614,110.34
2010-03-19,87.37,313.6,16.65,1.3537,108.28
2010-03-22,87.83,316.48,16.6,1.3567,107.75
2010-03-23,88.45,317.6,16.72,1.3468,108.32
2010-03-24,88.02,311.52,16.29,1.3331,106.3
2010-03-25,87.88,311.2,16.32,1.3307,106.78
2010-03-26,87.83,310.64,16.61,1.341,108.59
2010-03-29,88.38,319.68,17.04,1.3481,108.75
2010-03-30,88.44,319.6,16.95,1.3424,107.97
2010-03-31,88.14,322.32,17.14,1.3508,108.95
2010-04-01,88.75,329.92,17.54,1.3584,110.26
2010-04-05,89.47,336.56,17.75,1.3489,110.89
2010-04-06,89.68,336.16,17.61,1.3402,111.03
2010-04-07,89.17,332.16,17.77,1.3348,112.49
2010-04-08,89.48,331.52,17.72,1.3361,112.65
2010-04-09,90.06,329.36,18.01,1.3501,113.64
2010-04-12,90.21,327.44,17.8,1.3596,113.01
2010-04-13,90.27,327.12,17.84,1.3609,112.69
2010-04-14,91.3,334.08,18.07,1.3656,113.03
2010-04-15,91.37,333.68,18.07,1.3574,113.65
2010-04-16,89.92,324.8,17.41,1.3504,111.24
2010-04-19,90.26,320.88,17.38,1.3487,111.15
2010-04-20,91.07,322.4,17.48,1.3435,111.46
2010-04-21,90.9,322.16,17.77,1.339,112.31
2010-04-22,91.17,322.4,17.64,1.327,111.84
2010-04-23,91.77,327.6,17.91,1.3384,113.19
2010-04-26,91.42,322.8,17.93,1.3401,112.75
2010-04-27,89.26,314.96,17.88,1.3171,114.63
2010-04-28,89.94,319.76,17.75,1.3213,114.31
2010-04-29,91.05,328.32,18.14,1.3263,114.28
2010-04-30,89.51,330.64,18.26,1.3298,115.36
2010-05-03,90.67,331.68,18.42,1.32,115.73
2010-05-04,88.53,317.6,17.59,1.2964,114.87
2010-05-05,88.01,306.48,17.11,1.2815,115.09
2010-05-06,85.08,295.68,17.32,1.2633,118.49
2010-05-07,83.82,290.48,18.0,1.2756,118.27
2010-05-10,87.51,297.84,18.11,1.2779,117.57
2010-05-11,87.26,294.08,18.95,1.263,120.66
2010-05-12,88.48,294.16,19.12,1.2639,121.4
2010-05-13,87.38,289.04,18.99,1.2541,120.56
2010-05-14,85.8,278.48,18.93,1.236,120.37
2010-05-17,85.85,271.04,18.53,1.2393,119.36
2010-05-18,84.68,267.76,18.57,1.2179,119.49
2010-05-19,84.2,268.08,17.87,1.2393,116.63
2010-05-20,81.02,257.6,17.35,1.2479,115.84
2010-05-21,82.2,258.16,17.29,1.2567,115.22
2010-05-24,81.14,257.36,17.56,1.235,116.84
2010-05-25,81.23,254.8,17.54,1.2346,117.36
2010-05-26,80.74,260.72,17.74,1.2173,118.47
2010-05-27,83.44,274.48,18.12,1.2348,118.69
2010-05-28,82.39,272.32,18.03,1.2274,118.88
2010-06-01,81.01,265.44,18.02,1.2233,119.91
2010-06-02,83.12,270.32,17.98,1.2239,119.78
2010-06-03,83.4,274.08,17.64,1.2169,117.96
